Timestamp,Student Gender,Student Age,Type of the University,Name of the University,Location of the university,Academic Area,Academic Year,Student Current Residential Province,Do you have your own device to learn online?,What is the type of your device? ,Do you have a better internet connection to do e-learning ?,What are the  communication software/tools that you use?,What are the online learning platforms that you used?,Are you comfortable with the required technologies or applications that you need to use when doing e-learning?,Do you have a better environment to participate in online lectures?,Contribution to learning [How do you rate your satisfaction  for course lessons or activities delivered in the online environment?],Contribution to learning [How satisfied are you with the online assignments/test procedure?],Contribution to learning [How appropriate evaluating your learning outcomes through online?],Contribution to learning [Level of skill/knowledge at start of course],Contribution to learning [Level of skill/knowledge at end of course],Skill and responsiveness of the instructor [Instructor was an effective lecturer/demonstrator],Skill and responsiveness of the instructor [Presentations were clear and organized],Skill and responsiveness of the instructor [Instructor stimulated student interest],Skill and responsiveness of the instructor [Instructor effectively used time during class periods],Skill and responsiveness of the instructor [Instructor was available and helpful],Skill and responsiveness of the instructor [Grading was prompt and had useful feedback],Skill and responsiveness of the instructor [Instructor is comfortable with required technologies or applications which used to do e-learning],Course content [Learning objectives were clear],Course content [Course content was organized and well planned to  teach  on online platforms],Course content [Course workload was appropriate],Course content [Course organized to allow all students to participate fully],How much you satisfied with the e-learning ?,What needs to change  or add to make better e-learning platform?
05/10/2021 21:24:13,Male,27,State University,University of Moratuwa,Western Province,Other,Fifth Year,Sabaragamuwa Province,Yes,"Mobile Phone, Tablet, Laptop",3,Zoom,Moodle,4,2,Very good,Fair,Poor,Very good,Very good,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Strongly disagree,Disagree,4,Need to have confirmed schedule from academic staff
05/10/2021 22:47:17,Male,26,State University,moratuwa ,Western Province,Other,Fifth Year,Southern Province,Yes,"Mobile Phone, Laptop",3,Zoom,moodle,4,4,Very good,Very good,Satisfactory,Poor,Excellent,Agree,Agree,Neutral,Strongly agree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,4,
06/10/2021 19:55:16,Female,24,State University,University of Ruhuna,Southern Province,Finance / Management,Fouth Year,Sabaragamuwa Province,Yes,Laptop,4,Zoom,"LMS , Google Classroom",4,5,Very good,Very good,Very good,Very good,Very good,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Agree,4,"If it can check plagarism in assignments, Discussion quizzes, contact lecturers and receive confirmation mails through the platform, it will better. "
10/10/2021 20:30:37,Male,25,State University,University of Peradeniya ,Central Province,Science,Third Year,Sabaragamuwa Province,Yes,"Mobile Phone, Laptop",2,Zoom,"Udemy, youtube,cousera",4,3,Satisfactory,Satisfactory,Satisfactory,Fair,Satisfactory,Neutral,Disagree,Neutral,Agree,Agree,Neutral,Disagree,Disagree,Disagree,Agree,Neutral,3,"Good internet connection, understandable lecture notes"
10/10/2021 20:39:45,Female,24,State University,University of Ruhuna,Southern Province,Finance / Management,Fouth Year,Southern Province,Yes,"Mobile Phone, Laptop",3,Zoom,Google,4,4,Satisfactory,Very good,Satisfactory,Satisfactory,Satisfactory,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,4,Good connection need
10/10/2021 20:40:27,Female,24,State University,University of Ruhuna,Southern Province,Finance / Management,Fouth Year,Western Province,Yes,Laptop,4,Zoom,-,4,4,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,4,
10/10/2021 20:42:07,Female,25,State University,SabSabaragamuwa university of sri lanka ,Sabaragamuwa Province,Finance / Management,Fouth Year,Sabaragamuwa Province,Yes,"Mobile Phone, Laptop",4,Zoom,Udemy,4,3,Satisfactory,Fair,Fair,Fair,Fair,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,3,
10/10/2021 20:53:12,Female,25,State University,University of Kelaniya,Western Province,Finance / Management,Third Year,Sabaragamuwa Province,Yes,"Mobile Phone, Laptop",3,Zoom,Moodle,4,4,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,4,No
10/10/2021 21:21:12,Male,25,State University,University of Moratuwa,Western Province,Architecture ,Fifth Year,Western Province,Yes,"Desktop Computer, Laptop",4,Zoom,"Whatsapp, learnorg",3,5,Very good,Satisfactory,Very good,Satisfactory,Very good,Agree,Agree,Neutral,Neutral,Agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Neutral,2,"Proper schedule, not night time classes "
10/10/2021 21:23:20,Male,27,State University,University of Moratuwa,Western Province,Architecture,Fifth Year,Southern Province,Yes,"Mobile Phone, Laptop",3,Zoom,Moodle,3,2,Poor,Poor,Fair,Satisfactory,Satisfactory,Neutral,Agree,Neutral,Agree,Agree,Agree,Neutral,Agree,Agree,Neutral,Agree,3,Teaching methods need to adapt to e-learning
10/10/2021 21:24:12,Female,24,State University,University of Ruhuna,Southern Province,Finance / Management,Fouth Year,Sabaragamuwa Province,Yes,"Mobile Phone, Laptop",2,Zoom,Moodle,3,4,Fair,Satisfactory,Satisfactory,Fair,Very good,Agree,Agree,Agree,Agree,Strongly agree,Agree,Neutral,Neutral,Neutral,Agree,Agree,4,
